,ENGLISHNAME,CHINESENAME,CLASS,TYPE,EASTING,NORTHING,E_ADDRESS,C_ADDRESS,Sources
306,THE SALVATION ARMY SO UK KINDERGARTEN,救世軍蘇屋幼稚園,SCH,KDG,834223,822367,"G/F., LARKSPUR HOUSE, SO UK ESTATE, SHAM SHUI PO, KOWLOON",九龍深水埗蘇屋邨彩雀樓地下,GeoCom
307,LES PETITS LASCARS INTERNATIONAL KINDERGARTEN (TSEUNG KWAN O),LES PETITS LASCARS INTERNATIONAL KINDERGARTEN (TSEUNG KWAN O),SCH,KDG,844514,818245,"SHOP G01, G/F., CAPRI PLACE, 33 TONG YIN STREET, TSEUNG KWAN O, NEW TERRITORIES",新界將軍澳唐賢街33號Cａｐｒｉ Pｌａｃｅ地下G01號舖,GeoCom
308,WE HOTEL KOWLOON,伯惠酒店九龍,AMD,HTL,835561,819188,"G/F-16/F, R/F, TR/F & UTR/F, 3 Temple Street, Yau Ma Tei, Kowloon.","九龍油麻地廟街3號地下-16字樓, 天台,天台頂層及天台高層",GeoCom
309,MAZE HOTEL,美斯酒店,AMD,HTL,835649,819114,"G/F, 1/F-27/F, Roof, Upper Roof and Top Roof, 473 Nathan Road, Yau Ma Tei, Kowloon.","九龍油麻地彌敦道473號 地下, 1-27字樓, 天台, 天台高層及天台頂層。",GeoCom
310,LUEN ON GUEST HOUSE,聯安賓館,AMD,GHS,835830,817601,"Flat E3, Block E, 13/F, Mirador Mansion, 58 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道58號 美麗都大廈E座13字樓E3室,GeoCom
311,JOY INN LIMITED,JOY INN LIMITED,AMD,GHS,835715,817565,"2/F, 11 Lock Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀樂道11號2字樓,GeoCom
314,HKCT ADULT EDUCATION CENTRE (TSEUNG KWAN O GOVERNMENT SECONDARY SCHOOL)(EVENING),港專成人教育中心(將軍澳官立中學) (夜校),SCH,SES,844769,820724,"2/F. (EXCLUDING ROOMS 207-212) AND 3/F. (EXCLUDING ROOMS 307-310 AND ROOM 310A), 2 KING YIN LANE, TSEUNG KWAN O, NEW TERRITORIES (MONDAYS-FRIDAYS, 6:30PM TO 10:00PM)",新界將軍澳景賢里2號2樓(207至212室除外)及3樓(307至310室及310A室除外)(星期一至星期五晚上6時30分至晚上10時),GeoCom
316,CUHK Medical Centre,香港中文大學醫院,HNC,HOS,839811.021,830454.026,"9 Chak Cheung Street, Shatin, New Territories, Hong Kong",香港新界沙田澤祥街9號,GeoCom
317,金輪旅舍,金輪旅舍,AMD,GHS,835425,820303,"Flat A, 4/F, Kingland Apartments, 739 Nathan Road, Mong Kok, Kowloon.",九龍旺角彌敦道739號金輪大廈4字樓A室,GeoCom
318,CITY ECONO GUEST HOUSE LIMITED,京樺旅舘有限公司,AMD,GHS,835702,818395,"Flat A&B, 6/F, Cumberland House, 227 Nathan Road, Jordan, Kowloon.",九龍佐敦彌敦道227號金百龍大廈6字樓A&B室,GeoCom
320,HHCKLA BUDDHIST WAI KWONG KA FUK KINDERGARTEN,香海正覺蓮社佛教慧光嘉福幼稚園,SCH,KDG,831883,839259,SHOP KG01 G/F KA YEUNG HOUSE KA SHING COURT FANLING NEW TERRITORIES,新界粉嶺嘉盛苑嘉揚閣地下KG01號舖,GeoCom
321,YMCA OF HONG KONG CHRISTIAN INTERNATIONAL KINDERGARTEN (WEST KOWLOON),港青基信國際幼稚園(西九龍),SCH,KDG,834072,822332,"PORTION OF L/G, YMCA OF HONG KONG BEACON CENTRE-LIFELONG LEARNING INSTITUTE, 373 PO ON ROAD, KOWLOON",九龍保安道373號港青西九龍耀信發展學習中心低層部份,GeoCom
322,MAPLE BEAR CANADIAN INTERNATIONAL KINDERGARTEN,楓葉小熊加拿大國際幼稚園,SCH,KDG,844682,818117,"SHOP 7, G/F., COMMERCIAL ACCOMMODATION, ALTO RESIDENCES, 29 TONG YIN STREET, TSEUNG KWAN O, NEW TERRITORIES",新界將軍澳唐賢街29號藍塘傲地下7號舖,GeoCom
324,"Tung Chung Silverjoy","耆樂東涌",HNC,ELD,813232,817500,"G/F (Portion), 1/F (Portion) and 2/F (Portion), Ying Fook House, Ying Tung Estate, 12 Ying Tung Road, Tung Chung, New Territories","新界東涌迎東路12號迎東邨迎福樓地下(部分)、一樓(部分)及二樓(部分)",GeoCom
325,GUIDEPOST MONTESSORI INTERNATIONAL KINDERGARTEN (CHAI WAN),GUIDEPOST MONTESSORI INTERNATIONAL KINDERGARTEN (CHAI WAN),SCH,KDG,843742,814082,"SHOP KINDERGARTEN, G/F., HARMONY GARDEN, 9 SIU SAI WAN ROAD, CHAI WAN, HONG KONG (EXCLUDING STORE ROOM)",香港柴灣小西灣道九號富欣花園地下幼稚園舖(儲物室除外),GeoCom
335,VIENNA HOSTEL,VIENNA HOSTEL,AMD,GHS,835855,817482,"Flat D8, 8/F, Block D, Chungking Mansion, 40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀彌敦道40號 重慶大廈D座8字樓D8室,GeoCom
