,ENGLISHNAME,CHINESENAME,CLASS,TYPE,EASTING,NORTHING,E_ADDRESS,C_ADDRESS,Sources
7517,HHCKLA BUDDHIST CHING KOK SECONDARY SCHOOL,香海正覺蓮社佛教正覺中學,SCH,SES,843747,818680,38 CHUI LING ROAD TIU KENG LENG TSEUNG KWAN O NEW TERRITORIES,新界將軍澳調景嶺翠嶺路38號,GeoCom
7518,SHATIN COLLEGE,SHATIN COLLEGE,SCH,SES,837427,828140,"PHASE I & II & BASEMENT ROOF, 4/F & PORTION OF G/F 1/F & 3/F OF NEW BUILDING AT 1 LAI WO LANE FO TAN SHATIN NEW TERRITORIES",新界沙田火炭麗禾里1號第1期及2期及新大樓地庫 天台 四樓全層及地下 1樓及3樓部份,GeoCom
7519,EPWORTH VILLAGE METHODIST CHURCH KINDERGARTEN,循道衛理聯合教會愛華村堂幼稚園,SCH,KDG,842085,814400,1/F 100 CHAI WAN ROAD CHAI WAN HONG KONG (INCLUDING CHILD CARE CENTRE),香港柴灣柴灣道１００號１樓（包括幼兒中心）,GeoCom
7520,FIVE DISTRICTS BUSINESS WELFARE ASSOCIATION KINDERGARTEN,五邑工商總會幼稚園,SCH,KDG,837408,822345,G/F WANG CHAK HOUSE WANG TAU HOM ESTATE KOWLOON,九龍橫頭磡邨宏澤樓地下,GeoCom
7521,PING SHEK KINGSLAND KINDERGARTEN,坪石英皇幼稚園,SCH,KDG,839700,821603,"KAM SHEK HOUSE, PING SHEK ESTATE, KOWLOON",坪石邨金石樓,GeoCom
7522,TAI PO CATHOLIC KINDERGARTEN,天主教大埔幼稚園,SCH,KDG,834433,834680,G/F KA WO HOUSE PO NGA COURT TAI PO NT,新界大埔寶雅苑家和閣地下,GeoCom
7523,TAI PO METHODIST KINDERGARTEN,大埔循道衛理幼稚園,SCH,KDG,835689,835532,G/F HENG TSUI HOUSE FU HENG ESTATE TAI PO NT,新界大埔富亨邨亨翠樓地下,GeoCom
7524,PO LEUNG KUK CHOI KAI YAU SCHOOL,保良局蔡繼有學校,SCH,SES,833335,822831,NO. 6 CALDECOTT ROAD SHAMSHUIPO KOWLOON,九龍深水埗郝德傑道６號,GeoCom
7525,TAI PO BAPTIST KINDERGARTEN WAN TAU TONG ESTATE BRANCH,大埔浸信會幼稚園運頭塘邨分校,SCH,KDG,835153,833598,G/F WAN HANG HOUSE WAN TAU TONG ESTATE TAI PO NT,新界大埔運頭塘邨運亨樓地下,GeoCom
7526,YAN OI TONG NG WONG FUNG YING KINDERGARTEN,仁愛堂吳黃鳳英幼稚園,SCH,KDG,818521,834535,5/F TIN YIU COMMUNITY CENTRE TIN YIU ESTATE TIN SHUI WAI YUEN LONG NEW TERRITORIES,新界元朗天水圍天耀邨天耀社區中心５樓,GeoCom
7527,PO LEUNG KUK LUK HING TOO PRIMARY SCHOOL,保良局陸慶濤小學,SCH,PRS,844170,820829,PO LAM ESTATE TSEUNG KWAN O NT,新界將軍澳寶林邨,GeoCom
7528,PO KOK SECONDARY SCHOOL,寶覺中學,SCH,SES,844290,818717,9 CHOI MING STREET CHOI MING COURT TSEUNG KWAN O NEW TERRITORIES,新界將軍澳彩明街9號彩明苑,GeoCom
7529,TSUEN WAN BAPTIST CHURCH KINDERGARTEN,荃灣浸信會幼稚園,SCH,KDG,830424,825687,G/F & 1/F 99 CASTLE PEAK ROAD TSUEN WAN NEW TERRITORIES (T W T L 284),新界荃灣青山道９９號地下及２樓（荃灣市地段２８４號）,GeoCom
7530,DEBORAH INTERNATIONAL PRE-SCHOOL (TSEUNG KWAN O),德寶國際幼兒學校（將軍澳）,SCH,KDG,845006,819045,G/F (PORTION) KINDERGARTEN BLOCK BEVERLY GARDEN 1 TONG MING STREET TSEUNG KWAN O NEW TERRITORIES,新界將軍澳唐明街１號富康花園幼稚園大樓地下（部分）,GeoCom
7531,PUI KIU COLLEGE,培僑書院,SCH,PRS,835904,826136,"1 TAI WAI NEW VILLAGE ROAD, TAI WAI, SHATIN, NEW TERRITORIES",新界沙田大圍大圍新村路一號,GeoCom
7532,NEW LIFE SCHOOLS INCORPORATION LUI KWOK PAT FONG COLLEGE,新生命教育協會呂郭碧鳳中學,SCH,SES,841537,820022,102 TSUI PING ROAD KWUN TONG KOWLOON,觀塘翠屏道１０２號,GeoCom
7533,PO LEUNG KUK WAI YIN KINDERGARTEN,保良局慧妍雅集幼稚園,SCH,KDG,840088,816103,UNIT A 1/F QUARRY BAY COMMUNITY COMPLEX 1 GREIG ROAD QUARRY BAY HONG KONG,香港鰂魚涌基利路１號鰂魚涌社區綜合大樓１樓Ａ,GeoCom
7534,PO LEUNG KUK LAM MAN CHAN ENGLISH PRIMARY SCHOOL,保良局林文燦英文小學,SCH,PRS,837164,820209,2 FARM ROAD KOWLOON (EXCLUDING TUCK SHOP ON G/F),九龍農圃道2號(地下小食部及4樓天台操場除外),GeoCom
7535,ST. CATHERINE'S INTERNATIONAL KINDERGARTEN,國際英文幼稚園,SCH,KDG,836359,821005,1 ESSEX CRESCENT KOWLOON TONG KOWLOON,九龍九龍塘雅息士道１號,GeoCom
7536,GOOD TIME PLAY SCHOOL (FANLING CENTRE),好時光幼兒學校（粉嶺中心）,SCH,KDG,832718,838936,G/F BLOCK A & B FANLING CENTRE PHASE I 33 SAN WAN ROAD FANLING NEW TERRITORIES,新界粉嶺新運路３３號粉嶺中心第１期Ａ及Ｂ座地下,GeoCom
7537,CHAI WAN BAPTIST CHURCH PRE-SCHOOL EDUCATION LUI MING CHOI KINDERGARTEN (SIU SAI WAN),柴灣浸信會學前教育中心呂明才幼稚園（小西灣）,SCH,KDG,843619,813684,"UNIT 1-10, G/F., SUI FU HOUSE, SIU SAI WAN ESTATE, CHAI WAN, HONG KONG",香港柴灣小西灣邨瑞富樓地下１－１０號,GeoCom
7538,PARKVIEW INTERNATIONAL PRE-SCHOOL,栢基國際幼稚園,SCH,KDG,838502,813238,"TOWER 18, PARVIEW, 88 TAI TAM RESERVOIR ROAD HONG KONG (EXCLUDING AREA EXCLUSIVELY USED BY CHILD CARE CENTRE)",香港大潭水塘道八十八號陽明山莊十八座地下（幼兒園專用部份除外）,GeoCom
7539,PING SHEK KINGSLAND KINDERGARTEN,坪石英皇幼稚園,SCH,KDG,839698,821603,"KAM SHEK HOUSE, PING SHEK ESTATE, KOWLOON",坪石邨金石樓,GeoCom
7540,ELCHK LUTHERAN ACADEMY,基督教香港信義會宏信書院,SCH,PRS,820096,833078,"4/F. & 5/F., ABOVE THE ASSEMBLY HALL, 25 LAM HAU TSUEN ROAD, YUEN LONG, NEW TERRITORIES",新界元朗欖口村路25號學校禮堂上蓋四樓及五樓,GeoCom
7541,TUNG WAH GROUP OF HOSPITALS HOK SHAN SCHOOL,東華三院鶴山學校,SCH,PRS,832267,812653,5 WAH LAM PATH WAH FU ESTATE POKFULAM HONG KONG,香港薄扶林華富邨華林徑５號,GeoCom
7542,PO LEUNG KUK LAU CHAN SIU PO KINDERGARTEN,保良局劉陳小寶幼稚園,SCH,KDG,834031,820920,"PODIUM LEVEL, FU YUN HOUSE (BLOCK 16), FU CHEONG ESTATE, CHEUNG SHA WAN, KOWLOON",九龍長沙灣富昌邨富潤樓（第十六座）平台,GeoCom
7543,ST ANDREW'S CATHOLIC PRIMARY SCHOOL,天主教聖安德肋小學,SCH,PRS,843676,818372,30 CHUI LING ROAD TSEUNG KWAN O NEW TERRITORIES,新界將軍澳翠嶺路３０號,GeoCom
7544,CHEUNG SHA WAN CATHOLIC SECONDARY SCHOOL,長沙灣天主教英文中學,SCH,SES,833902,822167,533 FUK WING STREET CHEUNG SHA WAN KOWLOON,九龍長沙灣福榮街533號,GeoCom
7545,DISCOVERY MONTESSORI SCHOOL (CENTRAL),香港國際蒙特梭利學校（中環）,SCH,KDG,833755,816302,"3/F., MANDARIN BUILDING, 35-43 BONHAM STRAND, SHEUNG WAN, HONG KONG (EXCLUDING CLASSROOM 3 AND PLAY AREA 4)",香港上環文咸東街３５－４３號文華大廈３樓（課室３及遊戲場除外）,GeoCom
7546,HONG KONG RED CROSS HOSPITAL SCHOOLS (PRIMARY SECTION),香港紅十字會醫院學校(小學部),SCH,SEC,831832,822700,KWAI CHUNG HOSPITAL 3-15 KWAI CHUNG HOSPITAL ROAD NEW TERRITORIES,新界葵涌醫院路3-15號葵涌醫院,GeoCom
7547,DOMINIC SAVIO KINDERGARTEN (OLYMPIC BRANCH),明我幼稚園（奧運校）,SCH,KDG,835020,819766,UNIT 01-09 G/F HOI WEN HOUSE HOI FU COURT MONGKOK WEST KOWLOON,九龍旺角西海富苑海韻閣地下０１－０９室,GeoCom
7548,GOOD TIME PLAY SCHOOL (SHATIN PLAZA),好時光幼兒學校（沙田廣場）,SCH,KDG,837558,827132,LEVEL 4 BLOCK C & D SHA TIN PLAZA SHA TIN NEW TERRITORIES,新界沙田沙田廣場Ｃ及Ｄ座平台花園,GeoCom
7549,CHINESE CHRISTIAN WORKER'S FELLOWSHIP LTD. CHOI PO KINDERGARTEN,神召會華人同工聯會彩蒲幼稚園,SCH,KDG,830860,840225,G/F CAR PARK BUILDING CHOI PO COURT SHEUNG SHUI NEW TERRITORIES,新界上水彩蒲苑停車場大廈地下,GeoCom
7550,CHINESE CHRISTIAN WORKER'S FELLOWSHIP LTD. CHOI PO KINDERGARTEN,神召會華人同工聯會彩蒲幼稚園,SCH,KDG,830860,840225,G/F CAR PARK BUILDING CHOI PO COURT SHEUNG SHUI NEW TERRITORIES,新界上水彩蒲苑停車場大廈地下,GeoCom
7551,YUE TIN COURT YIU WING ANGLO-CHINESE KINDERGARTEN,耀榮中英文幼稚園(愉田苑),SCH,KDG,838920,827075,BLOCK E & BLOCK G (YUE KWAN HOUSE) YUE TIN COURT SHATIN NEW TERRITORIES,新界沙田愉田苑平台愉群閣Ｅ座及Ｇ座,GeoCom
7552,LOK SIN TONG MAN NG WING YEE KINDERGARTEN,樂善堂文吳泳沂幼稚園,SCH,KDG,841981,819924,G/F SAU WAH HOUSE SAU MAU PING ESTATE KOWLOON,九龍秀茂坪邨秀華樓地下,GeoCom
7553,THE WOODLAND SAI KUNG PRE-SCHOOL,THE WOODLAND SAI KUNG PRE-SCHOOL,SCH,KDG,843998,824144,SHOP D1 D2 AND YARD & SHOP D (EXCLUDING D1 D2 AND YARD) G/F MARINA COVE SHOPPING CENTRE SAI KUNG NEW TERRITORIES,新界西貢匡湖居購物中心地下Ｄ１Ｄ２號舖及後院和Ｄ號舖（不包括Ｄ１Ｄ２號舖及後院）,GeoCom
7554,YMCA OF HONG KONG CHRISTIAN KINDERGARTEN (KAI CHING),港青基信幼稚園（啟晴）,SCH,KDG,838979,821619,G/F SHEUNG CHING HOUSE KAI CHING ESTATE 12 MUK HUNG STREET KOWLOON CITY KOWLOON,九龍九龍城沐虹街１２號啟晴邨賞晴樓地下,GeoCom
7555,DEBORAH INTERNATIONAL PRE-SCHOOL (TSEUNG KWAN O),德寶國際幼兒學校（將軍澳）,SCH,KDG,845006,819052,G/F (PORTION) KINDERGARTEN BLOCK BEVERLY GARDEN 1 TONG MING STREET TSEUNG KWAN O NEW TERRITORIES,新界將軍澳唐明街１號富康花園幼稚園大樓地下（部分）,GeoCom
7556,SHUN TAK FRATERNAL ASSOCIATION LEUNG KIT WAH KINDERGARTEN,順德聯誼總會梁潔華幼稚園,SCH,KDG,842560,819799,"G/F., TAT FUNG HOUSE, PO TAT ESTATE, PO LAM ROAD, SAU MAU PING, KOWLOON",九龍秀茂坪寶琳路寶達邨達峰樓地下,GeoCom
7557,NORTHERN LAMMA SCHOOL,南丫北段公立小學,SCH,PRS,829752,809670,NO 1 YUNG SHUE LING YUNG SHUE WAN LAMMA ISLAND NEW TERRITORIES,新界南丫島榕樹灣榕樹嶺一號,GeoCom
7558,GOOD TIME PLAY SCHOOL (SHATIN PLAZA),好時光幼兒學校（沙田廣場）,SCH,KDG,837557,827131,LEVEL 4 BLOCK C & D SHA TIN PLAZA SHA TIN NEW TERRITORIES,新界沙田沙田廣場Ｃ及Ｄ座平台花園,GeoCom
7559,PO LEUNG KUK LEE SHU FOOK KINDERGARTEN,保良局李樹福幼稚園,SCH,KDG,841391,821123,"SHOP 2, G/F. AND SHOP 2, 1/F., ON CHUNG HOUSE AND SHOP 2, G/F. AND 1/F., COMMERCIAL BLOCK 1, SHUN ON ESTATE, KWUN TONG, KOWLOON",九龍順安邨安頌樓地下２號舖及商業大樓１座地下及１樓２號舖,GeoCom
7560,ST. JOHANNES COLLEGE,聖若望英文書院,SCH,KDG,836544,821089,ROOMS H J-N PANTRY LATRINES ADJACENT TO ROOM J BALCONY & OPEN AREA G/F & 1/F 3 FLINT ROAD KOWLOON TONG KOWLOON,九龍九龍塘火石道３號１樓及地下Ｈ號室Ｊ－Ｎ號室、茶水間、與Ｊ號室連接之厠所露臺及露天場地下,GeoCom
7561,ST. THOMAS' CHURCH KINDERGARTEN,聖多馬堂幼稚園,SCH,KDG,835087,821567,FLAT NO 101-116 BLOCK 24 SHEK KIP MEI ESTATE SHAM SHUI PO KOWLOON,九龍石硤尾下邨第２４座１０１－１１６室,GeoCom
7562,THE CHURCH OF CHRIST IN CHINA TAI O PRIMARY SCHOOL,中華基督教會大澳小學,SCH,PRS,803778,812876,24-26 MARKET STREET TAI O LANTAU ISLAND NEW TERRITORIES,新界大嶼山大澳街市街２４－２６號,GeoCom
7563,GRACE CHRISTIAN ACADEMY,培生學校,SCH,PRS,838636,817024,UNIT 1 & 2 1/F JAVA ROAD 108 COMMERCIAL CENTRE 108 JAVA ROAD HONG KONG,香港渣華道１０８號渣華道１０８商業中心１樓１及２室,GeoCom
7564,GALILEE INTERNATIONAL KINDERGARTEN,伽利利國際幼稚園,SCH,KDG,836007,819874,G/F & 1/F PEACE GARDEN 2 PEACE AVENUE HO MAN TIN KOWLOON,九龍何文田太平道２號太平花園地下及一樓,GeoCom
7565,THE CHURCH OF CHRIST IN CHINA KEI WA PRIMARY SCHOOL,中華基督教會基華小學,SCH,PRS,839332,821887,3 WONG KUK AVENUE CHOI HUNG ESTATE WONG TAI SIN KOWLOON,九龍黃大仙黃菊路3號彩虹邨,GeoCom
7566,YORK INTERNATIONAL KINDERGARTEN,約克國際幼稚園,SCH,KDG,836278,821390,NO.51 CUMBERLAND ROAD KOWLOON TONG KOWLOON (EXCLUDING ROOF TOP),九龍九龍塘金巴倫道五十一號（不包括天台）,GeoCom
7567,S.K.H. MA ON SHAN HOLY SPIRIT PRIMARY SCHOOL,聖公會馬鞍山主風小學,SCH,PRS,840740,829754,35 NING TAI ROAD MA ON SHAN SHATIN NEW TERRITORIES,新界沙田馬鞍山寧泰路３５號,GeoCom
7568,TSUEN WAN BAPTIST CHURCH KINDERGARTEN,荃灣浸信會幼稚園,SCH,KDG,830422,825686,G/F & 1/F 99 CASTLE PEAK ROAD TSUEN WAN NEW TERRITORIES (T W T L 284),新界荃灣青山道９９號地下及２樓（荃灣市地段２８４號）,GeoCom
7569,EPWORTH VILLAGE METHODIST CHURCH KINDERGARTEN,循道衛理聯合教會愛華村堂幼稚園,SCH,KDG,842085,814400,1/F 100 CHAI WAN ROAD CHAI WAN HONG KONG (INCLUDING CHILD CARE CENTRE),香港柴灣柴灣道１００號１樓（包括幼兒中心）,GeoCom
7570,TAI PING KINDERGARTEN,太平幼稚園,SCH,KDG,831049,839729,"UNIT NO.111-115, G/F., PING YEE HOUSE, TAI PING ESTATE, SHEUNG SHUI, NEW TERRITORIES",新界上水太平邨平易樓地下,GeoCom
7571,TAI PO METHODIST KINDERGARTEN,大埔循道衛理幼稚園,SCH,KDG,835689,835532,G/F HENG TSUI HOUSE FU HENG ESTATE TAI PO NT,新界大埔富亨邨亨翠樓地下,GeoCom
7572,YUEN LONG TUNG KOON DISTRICT ASSOCIATION HUNG TING KA KINDERGARTEN,元朗東莞同鄉會熊定嘉幼稚園,SCH,KDG,817657,835892,KINDERGARTEN NO 2 ROOF FLOOR TIN YAN SHOPPING CENTRE TIN YAN ESTATE TIN SHUI WAI NEW TERRITORIES,新界天水圍天恩邨天恩商場天台２號幼稚園,GeoCom
7573,HKEC ELITE KINDERGARTEN,香港宣教會優質幼兒學校,SCH,KDG,832427,838540,SHOP NO KG01 YAN SHING COURT FANLING NEW TERRITORIES,新界粉嶺欣盛苑商場ＫＧ０１號舖,GeoCom
7574,SEMPLE KINDERGARTEN,深培中英文幼稚園,SCH,KDG,834915,820621,"PORTION OF G/F., 1/F., PORTION OF 2/F. & 3/F., 10 WILLOW STREET, TAI KOK TSUI, KOWLOON",九龍大角咀柳樹街１０號地下（部分）、一樓全層、二樓（部分）及三樓全層,GeoCom
7575,ST. MARGARET MARY'S CATHOLIC KINDERGARTEN,天主教聖瑪加利大幼稚園,SCH,KDG,837020,815053,3/F - 4/F ST MARGARET CHURCH CATHOLIC CENTRE 2A BROADWOOD ROAD HAPPY VALLEY HONG KONG,香港跑馬地樂活道２號Ａ聖瑪加利大堂區中心３樓及４樓,GeoCom
7576,VICTORIA NURSERY,維多利亞幼兒園,SCH,KDG,837714,816579,2/F TOWER 1 KO FUNG COURT HARBOUR HEIGHTS 1 3 & 5 FOOK YUM ROAD NORTH POINT HONG KONG,香港北角福蔭道１３＆５號海峰園高峰閣第１座２樓,GeoCom
7577,ELCHK LING KUNG NURSERY SCHOOL,基督教香港信義會靈工幼兒學校,SCH,KDG,828671,823832,WING A G/F YEE KUI HOUSE TSING YI ESTATE TSING YI NEW TERRITORIES,新界青衣青衣邨宜居樓地下Ａ翼,GeoCom
7578,YAN CHAI HOSPITAL CHOI PAT TAI KINDERGARTEN,仁濟醫院蔡百泰幼稚園,SCH,KDG,830290,825576,1/F YAN CHAI HOSPITAL MULTI-SERVICES COMPLEX 18 YAN CHAI STREET TSUEN WAN NEW TERRITORIES,新界荃灣仁濟街１８號仁濟醫院綜合服務大樓１樓,GeoCom
7579,BAPTIST OI KWAN SOCIAL SERVICE PUI YAN PRE-PRIMARY SCHOOL,浸信會愛羣社會服務處培殷幼兒學校,SCH,KDG,833900,821728,G/F NO.1 FORTUNE STREET CHEUNG SHA WAN KOWLOON,九龍長沙灣幸福街一號地下,GeoCom
7580,ST. STEPHEN'S CHURCH COLLEGE,聖士提反堂中學,SCH,SES,832283,816218,71 BONHAM ROAD HONG KONG,香港般咸道71號,GeoCom
7581,THE SALVATION ARMY KAM TIN NURSERY SCHOOL,救世軍錦田幼兒學校,SCH,KDG,824502,833446,G/F 103 KAM TIN ROAD YUEN LONG NEW TERRITORIES,新界元朗錦田公路１０３號地下,GeoCom
7582,KOWLOON TRUE LIGHT SCHOOL (PRIMARY SECTION),九龍真光中學（小學部）,SCH,PRS,836416,821241,"115 WATERLOO ROAD, KOWLOON",九龍窩打老道１１５號,GeoCom
7583,SHENG KUNG HUI THE CHURCH OF OUR SAVIOUR KINDERGARTEN,聖公會救主堂幼稚園,SCH,KDG,836093,834339,NO 210-219 KWONG YAN HOUSE KWONG FUK ESTATE TAI PO NEW TERRITORIES,新界大埔廣福邨廣仁樓２１０–２１９號,GeoCom
7584,SHUN TAK FRATERNAL ASSOCIATION LEE SHAU KEE COLLEGE,順德聯誼總會李兆基中學,SCH,SES,830880,824636,303 KWAI SHING CIRCUIT KWAI CHUNG NT,新界葵涌葵盛圍303號,GeoCom
7585,EVANGEL COLLEGE,播道書院,SCH,PRS,845073,818353,7 CHI SHIN STREET TSEUNG KWAN O NEW TERRITORIES,新界將軍澳至善街7號,GeoCom
7586,EVANGELIZE CHINA FELLOWSHIP BLESSINGS CREATIVITY KINDERGARTEN,基督教中國佈道會恩恩創意幼稚園,SCH,KDG,839062,823172,TSZ HONG ESTATE TSZ WAN SHAN KOWLOON,九龍慈雲山慈康邨,GeoCom
7587,SUN ISLAND ENGLISH KINDERGARTEN (KWAI KING BRANCH),太陽島英文幼稚園(葵景分校),SCH,KDG,831719,825469,1/F KWAI KING BUILDING 31 KWONG FAI CIRCUIT KWAI CHUNG NEW TERRITORIES (INCLUDING CHILD CARE CENTRE),新界葵涌光輝圍３１號葵景大廈１樓（包括幼兒中心）,GeoCom
7588,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION LUNG HANG NURSERY SCHOOL,香港基督教女青年會隆亨幼兒學校,SCH,KDG,836548,825395,5/F AND ROOF PLAYGROUND LUNG HANG ESTATE COMMUNITY CENTRE LUNG HANG ESTATE SHATIN NEW TERRITORIES,新界沙田隆亨邨隆亨社區中心６樓及天台遊戲場,GeoCom
7589,PO LEUNG KUK MRS. CHAN NAM CHONG MEMORIAL PRIMARY SCHOOL,保良局陳南昌夫人小學,SCH,PRS,838315,821789,"30 HONG KEUNG STREET, SAN PO KONG, KOWLOON",九龍新蒲崗康強街３０號,GeoCom
7590,HO YAN KINDERGARTEN (SPONSORED BY SIK SIK YUEN),嗇色園主辦可仁幼稚園,SCH,KDG,833617,811774,UNITS 21 - 40 G/F LEI TIM HOUSE APLEICHAU ESTATE HONG KONG,香港鴨脷洲邨利添樓地下２１－４０號室,GeoCom
7591,MAY NGA KINDERGARTEN,美雅幼稚園,SCH,KDG,837612,820250,"G/F., 148 &148A PAU CHUNG STREET & 1/F., 146-150 PAU CHUNG STREET, TO KWA WAN, KOWLOON",九龍土瓜灣炮仗街１４８及１４８Ａ號地下及炮仗街１４６－１５０號１樓,GeoCom
7592,STAFFORD ENGLISH KINDERGARTEN,施德福英文幼稚園,SCH,KDG,836408,821474,G/F 14 STAFFORD ROAD KOWLOON TONG KOWLOON (EXCLUDING G/F (PORTION) OUTDOOR PLAY AREA OF STANSFIELD KINDERGARTEN),九龍九龍塘施他佛道１４號地下（ＳｔａｎｓｆｉｅｌｄＫｉｎｄｅｒｇａｒｔｅｎ地下（部份）户外遊戲場地除外）,GeoCom
7593,TUNG WAH GROUP OF HOSPITALS LAI TANG YUEN-KAW KINDERGARTEN,東華三院黎鄧潤球幼稚園,SCH,KDG,837273,822650,G/F COMMERCIAL CENTRE TIN MA COURT MA CHAI HANG (HOS) WONG TAI SIN KOWLOON,黃大仙天馬苑商場下層,GeoCom
7594,JOYFUL WORLD KINDERGARTEN (SHA TIN),心怡天地幼稚園(沙田),SCH,KDG,838613,828577,SHOP 701 7/F JUBILEE SQUARE 2-18 LOK KING STREET FO TAN SHATIN NEW TERRITORIES,新界沙田火炭樂景街２－１８號銀禧薈７樓７０１號舖,GeoCom
7595,JOYFUL WORLD KINDERGARTEN (BELVEDERE),心怡天地幼稚園（麗城）,SCH,KDG,828264,825764,SHOP NOS. 101 - 118 1/F & PORTION OF G/F BELVEDERE SQUARE BELVEDERE GARDEN PHASE 2 620 CASTLE PEAK ROAD TSUEN WAN TSUEN WAN NEW TERRITORIES,新界荃灣青山公路荃灣段６２０號麗城花園第二期麗城薈１樓１０１號－１１８號及部份地下,GeoCom
7596,ST. TERESA'S KINDERGARTEN,聖德蘭幼稚園,SCH,KDG,840072,808854,"1 TUNG TAU WAN ROAD, STANLEY, HONG KONG",香港赤柱東頭灣道１號,GeoCom
7597,HONG KONG RED CROSS HOSPITAL SCHOOLS (PRIMARY SECTION),香港紅十字會醫院學校(小學部),SCH,SEC,845818,819982,TSEUNG KWAN O HOSPITAL NO.2 PO NING LANE HANG HAU TSEUNG KWAN O NEW TERRITORIES,新界將軍澳坑口寶寧里2號將軍澳醫院,GeoCom
7598,CHUNG SING SCHOOL,鐘聲學校,SCH,PRS,821483,834356,29 KAU HUI ROAD YUEN LONG NEW TERRITORIES,新界元朗舊墟路２９號,GeoCom
7599,RHENISH CHURCH PANG HOK-KO MEMORIAL COLLEGE,禮賢會彭學高紀念中學,SCH,SES,836911,821703,30 HEREFORD ROAD KOWLOON TONG KOWLOON,九龍九龍塘禧福道30號,GeoCom
7600,LA PETITE ENFANCE KINDERGARTEN,LA PETITE ENFANCE KINDERGARTEN,SCH,KDG,819734,818802,"UNIT 5 & UNIT 6 & UNIT 8, LG/F., OFFICE BLOCK ONE, 92 SIENA AVENUE, DISCOVERY BAY, LANTAU ISLAND, NEW TERRITORIES",新界大嶼山愉景灣海澄湖畔路９２號一座寫字樓地下低層５、６及８號舖,GeoCom
7601,SAM SHUI NATIVES ASSOCIATION LAU PUN CHEUNG SCHOOL (PRIMARY SECTION),三水同鄉會劉本章學校(小學部),SCH,SEC,830728,824572,ESTATE SCHOOL NO 3 BLOCK 10 KWAI SHING ESTATE NEW TERRITORIES,新界葵盛邨第10座學校第三座校舍,GeoCom
7602,LUTHERAN PHILIP HOUSE HING MAN NURSERY SCHOOL,粵南信義會腓力堂興民幼兒學園,SCH,KDG,842038,814306,LEVEL 3 COMMUNITY BUILDING HING MAN ESTATE CHAI WAN HONG KONG,香港柴灣興民邨社區中心第３層,GeoCom
7603,COTTON SPINNERS ASSOCIATION SECONDARY SCHOOL,棉紡會中學,SCH,SES,831323,824820,"BLOCKS A, B, C & HALL BLOCK, 350 KWAI SHING CIRCUIT, KWAI CHUNG, NEW TERRITORIES",新界葵涌葵盛圍350號A座B座C座及禮堂座,GeoCom
7604,HONG KONG CHRISTIAN SERVICE TIN HENG NURSERY SCHOOL,香港基督教服務處天恒幼兒學校,SCH,KDG,817932,836746,G/F WING B&C HENG KWAI HOUSE TIN HENG ESTATE TIN SHUI WAI NEW TERRITORIES,新界天水圍天恒邨恒貴樓地下Ｂ及Ｃ翼,GeoCom
7605,TUNG WAH GROUP OF HOSPITALS TSUI TSIN TONG KINDERGARTEN,東華三院徐展堂幼稚園,SCH,KDG,831934,840222,G/F TIN HEE HOUSE BLOCK 6 TIN PING ESTATE SHEUNG SHUI NEW TERRITORIES,新界上水天平邨第六座天喜樓地下,GeoCom
7606,CANNAN KINDERGARTEN (CHARMING GARDEN),迦南幼稚園（富榮花園）,SCH,KDG,835081,819369,G/F - 1/F KINDERGARTEN BLOCK 12 CHARMING GARDEN 8 HOI TING ROAD MONGKOK KOWLOON (INCLUDING CHILD CARE CENTRE),九龍旺角海庭道８號富榮花園１２座幼稚園地下及一樓（包括幼兒中心）,GeoCom
7607,DISCOVERY COLLEGE,智新書院,SCH,SES,819487,818342,38 SIENA AVENUE DISCOVERY BAY LANTAU ISLAND NEW TERRITORIES,新界大嶼山愉景灣海澄湖畔路３８號,GeoCom
7608,KORNHILL VICTORIA KINDERGARTEN,康怡維多利亞幼稚園,SCH,KDG,840353,816069,PORTION OF 2/F 18 HONG ON STREET KORNHILL QUARRY BAY HONG KONG (INCLUDING SHARE USE AREA WITH CHILD CARE CENTRE),香港鰂魚涌康怡花園康安街１８號２樓部份（包括幼兒中心共用範圍）,GeoCom
7609,HONG KONG RED CROSS HOSPITAL SCHOOLS (PRIMARY SECTION),香港紅十字會醫院學校(小學部),SCH,SEC,831842,822500,PRINCESS MARGARET HOSPITAL 2-10 PRINCESS MARGARET HOSPITAL ROAD NEW TERRITORIES,新界瑪嘉烈醫院道2-10號瑪嘉烈醫院,GeoCom
7610,HONG KONG RED CROSS HOSPITAL SCHOOLS (PRIMARY SECTION),香港紅十字會醫院學校(小學部),SCH,SEC,815607,829767,TUEN MUN HOSPITAL 23 TSING CHUNG KOON ROAD TUEN MUN NEW TERRITORIES,新界屯門青松觀路23號屯門醫院,GeoCom
7611,HONG KONG CHRISTIAN SERVICE SHEK KIP MEI NURSERY SCHOOL,香港基督教服務處石硤尾幼兒學校,SCH,KDG,835092,821594,UNIT 201-218 1/F BLOCK 23 SHEK KIP MEI ESTATE WOH CHAI STREET SHAMSHUIPO KOWLOON,九龍深水埗窩仔街石硤尾邨第２３座１樓２０１－２１８號,GeoCom
